Strain,Value,Country
HCOV-19_USA_20200324_EPI_ISL_418909,0.05140468403716,Belgium
HCOV-19_USA_20200312_EPI_ISL_416677,0.051907117785157,Belgium
HCOV-19_USA_20200314_EPI_ISL_417503,0.052350656856842,Belgium
HCOV-19_USA_20200305_EPI_ISL_417163,0.052503442956044,Belgium
HCOV-19_USA_20200309_EPI_ISL_414590,0.053062936836274,Belgium
HCOV-19_USA_20200320_EPI_ISL_417028,0.053188358606049,Belgium
HCOV-19_USA_20200310_EPI_ISL_416445,0.053363012438499,Belgium
HCOV-19_USA_20200313_EPI_ISL_415542,0.054216786675134,Belgium
HCOV-19_USA_20200308_EPI_ISL_414618,0.054838125827552,Belgium
HCOV-19_USA_20200322_EPI_ISL_418899,0.055275127769808,Belgium
HCOV-19_USA_20200302_EPI_ISL_417075,0.055681415297573,Belgium
HCOV-19_USA_20200302_EPI_ISL_417076,0.056026330988761,Belgium
HCOV-19_USA_20200301_EPI_ISL_417139,0.056302745829689,Belgium
HCOV-19_USA_20200229_EPI_ISL_417159,0.057274063955684,Belgium
HCOV-19_USA_20200302_EPI_ISL_417073,0.057346660221997,Belgium
HCOV-19_USA_20200229_EPI_ISL_417160,0.05797424517082,Belgium
HCOV-19_USA_20200313_EPI_ISL_418776,0.058333467801399,Belgium
HCOV-19_CANADA_20200309_EPI_ISL_418340,0.059216709228951,Belgium
HCOV-19_USA_20200321_EPI_ISL_417203,0.060448565829522,Belgium
HCOV-19_CANADA_20200309_EPI_ISL_418339,0.061306010769182,Belgium
HCOV-19_CANADA_20200312_EPI_ISL_418812,0.061757201347971,Belgium
HCOV-19_CANADA_20200310_EPI_ISL_418333,0.062665061198036,Belgium
HCOV-19_CANADA_20200307_EPI_ISL_418334,0.062869853186623,Belgium
HCOV-19_CANADA_20200312_EPI_ISL_418338,0.06302889658567,Belgium
HCOV-19_USA_20200307_EPI_ISL_416455,0.063493359213965,Belgium
HCOV-19_USA_20200309_EPI_ISL_415592,0.063574147091444,Belgium
HCOV-19_USA_20200313_EPI_ISL_417354,0.065536923824872,Belgium
HCOV-19_USA_20200313_EPI_ISL_417344,0.065766343311462,Belgium
HCOV-19_USA_20200324_EPI_ISL_418944,0.065809020744617,Belgium
HCOV-19_USA_20200304_EPI_ISL_414363,0.066258272000133,Belgium
HCOV-19_USA_20200314_EPI_ISL_416712,0.067752237807244,Belgium
HCOV-19_USA_20200314_EPI_ISL_416718,0.069687216197495,Belgium
HCOV-19_USA_20200310_EPI_ISL_415604,0.070594443763991,Belgium
HCOV-19_USA_20200310_EPI_ISL_416441,0.071782639180696,Belgium
HCOV-19_USA_20200324_EPI_ISL_418881,0.071892261323212,Belgium
HCOV-19_USA_20200305_EPI_ISL_414368,0.073253492778386,Belgium
HCOV-19_USA_20200314_EPI_ISL_417363,0.07376234250815,Belgium
HCOV-19_USA_20200309_EPI_ISL_415627,0.074444176005089,Belgium
HCOV-19_USA_20200323_EPI_ISL_418887,0.077033161984672,Belgium
HCOV-19_USA_20200320_EPI_ISL_418906,0.077659068909254,Belgium
HCOV-19_USA_20200314_EPI_ISL_416687,0.078408369138956,Belgium
HCOV-19_USA_20200316_EPI_ISL_418030,0.079070190009665,Belgium
HCOV-19_USA_20200312_EPI_ISL_416638,0.081436343957757,Belgium
HCOV-19_USA_20200324_EPI_ISL_418901,0.082129363433232,Belgium
HCOV-19_USA_20200313_EPI_ISL_417353,0.082404546304815,Belgium
HCOV-19_USA_20200314_EPI_ISL_417380,0.083537908047026,Belgium
HCOV-19_USA_20200310_EPI_ISL_416435,0.083602688959865,Belgium
HCOV-19_USA_20200315_EPI_ISL_418064,0.084620787900655,Belgium
HCOV-19_USA_20200313_EPI_ISL_417358,0.085083609380384,Belgium
HCOV-19_USA_20200308_EPI_ISL_415608,0.085119825241951,Belgium
HCOV-19_USA_20200310_EPI_ISL_416650,0.08617117245452,Belgium
HCOV-19_USA_20200309_EPI_ISL_415624,0.086404209071622,Belgium
HCOV-19_USA_20200314_EPI_ISL_417378,0.086445041280483,Belgium
HCOV-19_USA_20200308_EPI_ISL_415609,0.087108573361674,Belgium
HCOV-19_USA_20200314_EPI_ISL_417369,0.087419257163636,Belgium
HCOV-19_USA_20200324_EPI_ISL_418886,0.08868695039947,Belgium
HCOV-19_USA_20200310_EPI_ISL_416444,0.088787921961331,Belgium
HCOV-19_USA_20200314_EPI_ISL_417366,0.091243812340161,Belgium
HCOV-19_USA_20200314_EPI_ISL_418062,0.091276167485175,Belgium
HCOV-19_USA_20200324_EPI_ISL_418939,0.091978881568856,Belgium
HCOV-19_USA_20200323_EPI_ISL_418950,0.093418366900262,Belgium
HCOV-19_USA_20200311_EPI_ISL_416641,0.093945216028075,Belgium
HCOV-19_USA_20200320_EPI_ISL_418907,0.094079280636247,Belgium
HCOV-19_USA_20200310_EPI_ISL_415591,0.09451407976806,Belgium
HCOV-19_USA_20200316_EPI_ISL_418050,0.094782246047112,Belgium
HCOV-19_USA_20200310_EPI_ISL_416443,0.094991763773715,Belgium
HCOV-19_USA_20200324_EPI_ISL_418922,0.097437201293541,Belgium
HCOV-19_USA_20200323_EPI_ISL_418945,0.097762561520449,Belgium
HCOV-19_USA_20200314_EPI_ISL_418070,0.098642238232938,Belgium
HCOV-19_USA_202003_EPI_ISL_418941,0.098673400160884,Belgium
HCOV-19_USA_20200315_EPI_ISL_418082,0.098743658759338,Belgium
HCOV-19_USA_20200320_EPI_ISL_418890,0.098781270823877,Belgium
HCOV-19_USA_20200316_EPI_ISL_418029,0.099425838781791,Belgium
HCOV-19_USA_20200324_EPI_ISL_418905,0.099435396658863,Belgium
HCOV-19_USA_20200314_EPI_ISL_418934,0.101034076677196,Belgium
HCOV-19_USA_20200312_EPI_ISL_416667,0.103151190075808,Belgium
HCOV-19_USA_20200324_EPI_ISL_418930,0.104305202818377,Belgium
HCOV-19_USA_20200312_EPI_ISL_416666,0.10514638482943,Belgium
HCOV-19_USA_20200311_EPI_ISL_416656,0.105300640759418,Belgium
HCOV-19_USA_20200320_EPI_ISL_418931,0.105312511129456,Belgium
HCOV-19_USA_20200309_EPI_ISL_415622,0.105603102679715,Belgium
HCOV-19_USA_20200310_EPI_ISL_415602,0.105725595305407,Belgium
HCOV-19_USA_20200315_EPI_ISL_418038,0.105912737243067,Belgium
HCOV-19_USA_20200310_EPI_ISL_416433,0.107769307819353,Belgium
HCOV-19_USA_20200311_EPI_ISL_416649,0.107919079899976,Belgium
HCOV-19_USA_20200309_EPI_ISL_415611,0.108035935008727,Belgium
HCOV-19_USA_20200312_EPI_ISL_416635,0.109733400537349,Belgium
HCOV-19_USA_20200313_EPI_ISL_417371,0.110200531029148,Belgium
HCOV-19_USA_20200312_EPI_ISL_416663,0.111328812300095,Belgium
HCOV-19_USA_20200324_EPI_ISL_418937,0.11133107677561,Belgium
HCOV-19_USA_20200313_EPI_ISL_417356,0.111911139050857,Belgium
HCOV-19_USA_20200311_EPI_ISL_416668,0.11271717075645,Belgium
HCOV-19_USA_20200323_EPI_ISL_418866,0.113441635714396,Belgium
HCOV-19_USA_20200315_EPI_ISL_416683,0.114109577625274,Belgium
HCOV-19_USA_20200324_EPI_ISL_418927,0.114211493418381,Belgium
HCOV-19_USA_20200313_EPI_ISL_416694,0.114373524340323,Belgium
HCOV-19_USA_20200309_EPI_ISL_415620,0.11661408990823,Belgium
HCOV-19_USA_20200314_EPI_ISL_417381,0.117519589248269,Belgium
HCOV-19_USA_20200314_EPI_ISL_417453,0.118670166293937,Brazil
HCOV-19_USA_20200314_EPI_ISL_417370,0.119288465088769,Brazil
HCOV-19_SHANGHAI_20200201_EPI_ISL_416372,0.119533476835212,Brazil
HCOV-19_SPAIN_20200302_EPI_ISL_417981,0.119851520161822,Brazil
HCOV-19_SENEGAL_20200313_EPI_ISL_418216,0.122289511710143,Brazil
HCOV-19_GREECE_20200318_EPI_ISL_418265,0.123009915140699,Brazil
HCOV-19_SPAIN_20200305_EPI_ISL_419238,0.123141778235267,Brazil
HCOV-19_CHILE_20200308_EPI_ISL_415661,0.123303891644267,Brazil
HCOV-19_SPAIN_20200303_EPI_ISL_418249,0.125560027989993,Brazil
HCOV-19_SPAIN_20200227_EPI_ISL_416484,0.125593892905228,Brazil
HCOV-19_USA_20200304_EPI_ISL_415151,0.125611570940885,Brazil
HCOV-19_CHILE_20200303_EPI_ISL_414579,0.126567848603509,Brazil
HCOV-19_SPAIN_20200304_EPI_ISL_416994,0.130796822233392,Brazil
HCOV-19_SPAIN_20200304_EPI_ISL_416487,0.131005632799356,Brazil
HCOV-19_SPAIN_20200303_EPI_ISL_419240,0.131486631615572,Brazil
HCOV-19_SPAIN_20200303_EPI_ISL_419234,0.131633787519915,Brazil
HCOV-19_NETHERLANDS_20200311_EPI_ISL_415503,0.132483166874649,Brazil
HCOV-19_BRAZIL_20200316_EPI_ISL_417034,0.133556387213076,Brazil
HCOV-19_SPAIN_20200305_EPI_ISL_414598,0.133916183587229,Brazil
HCOV-19_CHILE_20200307_EPI_ISL_415660,0.135001789611702,Brazil
HCOV-19_FRANCE_20200225_EPI_ISL_414623,0.136272691132699,Brazil
HCOV-19_FRANCE_20200226_EPI_ISL_414600,0.138235488714546,Brazil
HCOV-19_SPAIN_20200302_EPI_ISL_418253,0.139744909461214,Brazil
HCOV-19_GEORGIA_20200308_EPI_ISL_416477,0.141748392015883,Brazil
HCOV-19_SPAIN_20200304_EPI_ISL_419233,0.142242914316898,Brazil
HCOV-19_SOUTHKOREA_20200130_EPI_ISL_412870,0.142269903251513,Brazil
HCOV-19_SOUTHKOREA_20200131_EPI_ISL_412871,0.142630006380706,Brazil
HCOV-19_SOUTHKOREA_20200125_EPI_ISL_407193,0.142637573792029,Brazil
HCOV-19_SOUTHKOREA_20200227_EPI_ISL_413514,0.142976878625174,Brazil
HCOV-19_SOUTHKOREA_20200227_EPI_ISL_413515,0.144081302106484,Brazil
HCOV-19_BEIJING_20200128_EPI_ISL_413521,0.144272429873269,Brazil
HCOV-19_BEIJING_20200128_EPI_ISL_413520,0.144378346258774,Brazil
HCOV-19_SHENZHEN_20200113_EPI_ISL_406593,0.144386539166679,Brazil
HCOV-19_SHENZHEN_20200111_EPI_ISL_405839,0.14453870773421,Brazil
HCOV-19_SHANGHAI_20200128_EPI_ISL_416318,0.145906175428258,Brazil
HCOV-19_SHANGHAI_20200207_EPI_ISL_416377,0.145917510416394,Cambodia
HCOV-19_AUSTRALIA_20200124_EPI_ISL_417030,0.146852197509479,Canada
HCOV-19_SHANGHAI_20200128_EPI_ISL_416319,0.148111251362393,Canada
HCOV-19_SHANGHAI_20200130_EPI_ISL_416366,0.148167192372164,Canada
HCOV-19_CHINA_202002_EPI_ISL_413809,0.150433305961528,Canada
HCOV-19_GUANGDONG_20200115_EPI_ISL_403935,0.150505990971619,Canada
HCOV-19_SHENZHEN_20200110_EPI_ISL_406030,0.151123746517194,Canada
HCOV-19_USA_20200122_EPI_ISL_406223,0.151188359207625,Canada
HCOV-19_JAPAN_20200129_EPI_ISL_408665,0.15187260414357,Canada
HCOV-19_JAPAN_20200201_EPI_ISL_418809,0.152546192973069,Canada
HCOV-19_JAPAN_20200131_EPI_ISL_408666,0.152774100730371,Canada
HCOV-19_JAPAN_20200131_EPI_ISL_408667,0.154408425679916,Canada
HCOV-19_USA_20200211_EPI_ISL_411956,0.15484081852663,Canada
HCOV-19_GERMANY_20200302_EPI_ISL_414521,0.155073917295474,Canada
HCOV-19_BELGIUM_20200203_EPI_ISL_407976,0.155982527547442,Canada
HCOV-19_SHANGHAI_20200211_EPI_ISL_416402,0.156169451226835,Canada
HCOV-19_GUANGZHOU_20200225_EPI_ISL_414690,0.1562399442612,Canada
HCOV-19_WUHAN_20200207_EPI_ISL_412982,0.156341582353814,Canada
HCOV-19_AUSTRALIA_20200124_EPI_ISL_407893,0.156744032731485,Canada
HCOV-19_WUHAN_20200118_EPI_ISL_412979,0.156755404627727,Canada
HCOV-19_CHINA_202001_EPI_ISL_413691,0.157852121783759,Canada
HCOV-19_GUANGDONG_20200130_EPI_ISL_413853,0.158550496811809,Canada
HCOV-19_AUSTRALIA_20200128_EPI_ISL_407894,0.159122576131209,Canada
HCOV-19_USA_20200313_EPI_ISL_417514,0.159945624497637,Canada
HCOV-19_USA_20200321_EPI_ISL_417200,0.160044061681869,Canada
HCOV-19_USA_20200321_EPI_ISL_417201,0.160588193525087,Canada
HCOV-19_NETHERLANDS_20200308_EPI_ISL_414555,0.16074140986808,Canada
HCOV-19_NETHERLANDS_20200310_EPI_ISL_415461,0.160946478318551,Canada
HCOV-19_SHANGHAI_20200125_EPI_ISL_416317,0.16160943535366,Canada
HCOV-19_SHANGHAI_20200125_EPI_ISL_416316,0.16177556244269,Canada
HCOV-19_SINGAPORE_20200203_EPI_ISL_410535,0.162566105423285,Canada
HCOV-19_SHANGHAI_20200202_EPI_ISL_416403,0.163667902601023,Canada
HCOV-19_USA_20200313_EPI_ISL_416696,0.163693278187154,Canada
HCOV-19_AUSTRALIA_20200130_EPI_ISL_407896,0.163823215559168,Canada
HCOV-19_AUSTRALIA_20200205_EPI_ISL_410718,0.164061933561901,Canada
HCOV-19_AUSTRALIA_20200205_EPI_ISL_410717,0.164916848510194,Canada
HCOV-19_USA_20200206_EPI_ISL_411954,0.16535154278953,Canada
HCOV-19_SHANGHAI_20200202_EPI_ISL_416335,0.166716058223499,Canada
HCOV-19_CHINA_202002_EPI_ISL_413697,0.167404049892451,Canada
HCOV-19_CHINA_202002_EPI_ISL_413791,0.167809051272698,Canada
HCOV-19_SHANGHAI_20200202_EPI_ISL_416330,0.168032603710139,Canada
HCOV-19_WUHAN_20200118_EPI_ISL_412980,0.168097363860871,Canada
HCOV-19_CHINA_202002_EPI_ISL_413746,0.168540686941946,Canada
HCOV-19_SPAIN_20200303_EPI_ISL_417979,0.169277525620585,Canada
HCOV-19_SHANGHAI_20200203_EPI_ISL_416339,0.16947368262379,Canada
HCOV-19_SHANGHAI_20200130_EPI_ISL_416333,0.171479301208603,Canada
HCOV-19_SHANGHAI_20200129_EPI_ISL_416322,0.172610010198325,Canada
HCOV-19_SHANDONG_20200130_EPI_ISL_414941,0.172848744938786,Canada
HCOV-19_SHANDONG_20200125_EPI_ISL_414940,0.172950294323649,Canada
HCOV-19_SHANDONG_20200124_EPI_ISL_414938,0.173728239524567,Canada
HCOV-19_SHANDONG_20200126_EPI_ISL_414937,0.173742911447762,Canada
HCOV-19_SHANDONG_20200123_EPI_ISL_414936,0.173872008627852,Canada
HCOV-19_SHANGHAI_20200129_EPI_ISL_416323,0.174847023603503,Canada
HCOV-19_ENGLAND_20200129_EPI_ISL_407073,0.176018400475348,Canada
HCOV-19_ENGLAND_20200129_EPI_ISL_407071,0.176434945566531,Canada
HCOV-19_SOUTHKOREA_20200130_EPI_ISL_412869,0.176538873075175,Canada
HCOV-19_GUANGDONG_20200130_EPI_ISL_413860,0.17721037561303,Canada
HCOV-19_TAIWAN_20200124_EPI_ISL_411926,0.177329231918381,Canada
HCOV-19_GUANGZHOU_20200225_EPI_ISL_414691,0.177633455154056,Canada
HCOV-19_GUANGZHOU_20200225_EPI_ISL_414689,0.17776856737862,Canada
HCOV-19_WUHAN_20200117_EPI_ISL_412978,0.178060167497986,Canada
HCOV-19_CHINA_202002_EPI_ISL_413750,0.17844687560312,Canada
HCOV-19_SPAIN_20200301_EPI_ISL_418246,0.178486263848674,Canada
HCOV-19_SPAIN_20200301_EPI_ISL_418245,0.17899829506699,Canada
HCOV-19_SPAIN_20200303_EPI_ISL_417980,0.179688089680373,Canada
HCOV-19_CHILE_20200304_EPI_ISL_414578,0.180174463573313,Canada
HCOV-19_CHILE_20200302_EPI_ISL_414577,0.180344780626661,Canada
HCOV-19_SPAIN_20200305_EPI_ISL_419230,0.180538059365252,Canada
HCOV-19_CHINA_202002_EPI_ISL_413749,0.180864396420033,Canada
HCOV-19_INDIA_20200131_EPI_ISL_413523,0.18137105256824,Canada
HCOV-19_GUANGDONG_20200130_EPI_ISL_413854,0.181458491851269,Canada
HCOV-19_CHINA_202002_EPI_ISL_413711,0.182343669150056,Canada
HCOV-19_SHANGHAI_20200130_EPI_ISL_416326,0.182807815658982,Canada
HCOV-19_TAIWAN_20200131_EPI_ISL_408489,0.183089688648433,Canada
HCOV-19_TIANMEN_20200208_EPI_ISL_412983,0.183131200014774,Canada
HCOV-19_CHINA_202002_EPI_ISL_413748,0.183356061695437,Canada
HCOV-19_NEWZEALAND_20200315_EPI_ISL_416539,0.184213562239603,Canada
HCOV-19_USA_20200128_EPI_ISL_410045,0.184712468471563,Canada
HCOV-19_USA_20200324_EPI_ISL_418897,0.185525792916225,Canada
HCOV-19_USA_20200314_EPI_ISL_418045,0.185615328010808,Canada
HCOV-19_NEWZEALAND_20200315_EPI_ISL_416538,0.186464736962526,Canada
HCOV-19_SHANGHAI_20200201_EPI_ISL_416341,0.187190812975283,Canada
HCOV-19_SHANGHAI_20200202_EPI_ISL_416409,0.18780287455843,Canada
HCOV-19_HONGKONG_20200122_EPI_ISL_412028,0.18893620323202,Canada
HCOV-19_BEIJING_20200118_EPI_ISL_408485,0.189031903553723,Canada
HCOV-19_SICHUAN_20200115_EPI_ISL_408484,0.191858205845825,Canada
HCOV-19_SHANGHAI_20200201_EPI_ISL_416338,0.191978680732414,Canada
HCOV-19_USA_20200123_EPI_ISL_406034,0.193024548235546,Canada
HCOV-19_VIETNAM_20200211_EPI_ISL_416429,0.194297441345266,Canada
HCOV-19_YUNNAN_20200117_EPI_ISL_408480,0.196560547532143,Canada
HCOV-19_SOUTHKOREA_20200206_EPI_ISL_412873,0.196837912689873,Canada
HCOV-19_GUANGDONG_20200130_EPI_ISL_413858,0.198121620071254,Canada
HCOV-19_CHINA_202002_EPI_ISL_413729,0.199087827370535,Canada
HCOV-19_HANGZHOU_20200126_EPI_ISL_416042,0.200128833533408,Canada
HCOV-19_WUHAN_20200105_EPI_ISL_406801,0.200846843982638,Canada
HCOV-19_HANGZHOU_20200122_EPI_ISL_415711,0.201008587164851,Canada
HCOV-19_GUANGZHOU_20200227_EPI_ISL_414686,0.201056051705961,Canada
HCOV-19_CHINA_20200108_EPI_ISL_411957,0.201271324553596,Canada
HCOV-19_SOUTHKOREA_20200201_EPI_ISL_412872,0.201294551150327,Canada
HCOV-19_SHANGHAI_20200213_EPI_ISL_416399,0.202487667207643,Canada
HCOV-19_CANADA_20200125_EPI_ISL_418327,0.203965083057222,Canada
HCOV-19_USA_20200129_EPI_ISL_408009,0.205359359338743,Canada
HCOV-19_CANADA_20200125_EPI_ISL_413014,0.206866881867599,Canada
HCOV-19_SHANGHAI_20200130_EPI_ISL_416365,0.206951346537541,Canada
HCOV-19_SHENZHEN_20200116_EPI_ISL_406594,0.20814440465888,Canada
HCOV-19_FOSHAN_20200122_EPI_ISL_406534,0.208523196637373,Canada
HCOV-19_GUANGDONG_20200115_EPI_ISL_403934,0.209289860664647,Canada
HCOV-19_SHENZHEN_20200116_EPI_ISL_406595,0.209929226114336,Canada
HCOV-19_GUANGZHOU_20200225_EPI_ISL_414687,0.209999465970456,Canada
HCOV-19_USA_20200224_EPI_ISL_414485,0.210696437134323,Canada
HCOV-19_USA_20200313_EPI_ISL_415539,0.211481975176415,Canada
HCOV-19_CANADA_20200312_EPI_ISL_418375,0.211669193212725,Canada
HCOV-19_AUSTRALIA_20200311_EPI_ISL_417033,0.212002582091558,Canada
HCOV-19_USA_20200313_EPI_ISL_416706,0.213799783286916,Canada
HCOV-19_AUSTRALIA_20200310_EPI_ISL_417400,0.213922357010852,Canada
HCOV-19_AUSTRALIA_20200305_EPI_ISL_417388,0.214319069497051,Canada
HCOV-19_MALAYSIA_20200318_EPI_ISL_417918,0.215592009458733,Canada
HCOV-19_MALAYSIA_20200320_EPI_ISL_417917,0.216628349485658,Canada
HCOV-19_AUSTRALIA_20200310_EPI_ISL_417396,0.217896503638144,Canada
HCOV-19_SAUDIARABIA_20200307_EPI_ISL_416432,0.218974419468574,Canada
HCOV-19_AUSTRALIA_20200314_EPI_ISL_417403,0.220097573455334,Canada
HCOV-19_JAPAN_20200215_EPI_ISL_416574,0.220537385194475,Canada
HCOV-19_JAPAN_20200217_EPI_ISL_416622,0.221063511346408,Canada
HCOV-19_JAPAN_20200215_EPI_ISL_416581,0.221580758525469,Canada
HCOV-19_JAPAN_20200217_EPI_ISL_416632,0.221730367288913,Canada
HCOV-19_JAPAN_20200217_EPI_ISL_416617,0.222679898439709,Canada
HCOV-19_JAPAN_20200217_EPI_ISL_416620,0.224364564308383,Canada
HCOV-19_JAPAN_20200217_EPI_ISL_416621,0.22504533606419,Canada
HCOV-19_JAPAN_20200217_EPI_ISL_416633,0.225342446027664,Canada
HCOV-19_JAPAN_20200210_EPI_ISL_412968,0.225575960918947,Canada
HCOV-19_JAPAN_20200217_EPI_ISL_416609,0.225958529311222,Chile
HCOV-19_JAPAN_20200216_EPI_ISL_416597,0.22661288301524,Chile
HCOV-19_JAPAN_20200215_EPI_ISL_416566,0.22767087884546,Chile
HCOV-19_JAPAN_20200217_EPI_ISL_416612,0.228784054905241,Chile
HCOV-19_JAPAN_20200217_EPI_ISL_416629,0.22890392099721,Chile
HCOV-19_JAPAN_20200215_EPI_ISL_416579,0.230303450496218,Chile
HCOV-19_JAPAN_20200216_EPI_ISL_416601,0.230444466193165,Chile
HCOV-19_JAPAN_20200217_EPI_ISL_416607,0.232447478263474,China
HCOV-19_JAPAN_20200217_EPI_ISL_416608,0.233177999857863,China
HCOV-19_SHANGHAI_20200204_EPI_ISL_416342,0.233178572744157,China
HCOV-19_JAPAN_20200216_EPI_ISL_416592,0.23452949246849,China
HCOV-19_JAPAN_20200217_EPI_ISL_416614,0.236366413302624,China
HCOV-19_ISRAEL_202003_EPI_ISL_419211,0.237223792386837,China
HCOV-19_JAPAN_20200217_EPI_ISL_416611,0.237351096398863,China
