Sample	Lineage
HCOV-19_AUSTRALIA_20200317_EPI_ISL_427664	B.11
HCOV-19_AUSTRALIA_20200317_EPI_ISL_427717	B.11
HCOV-19_AUSTRALIA_20200317_EPI_ISL_427727	A.3
HCOV-19_AUSTRALIA_20200317_EPI_ISL_427731	B.1
HCOV-19_AUSTRALIA_20200317_EPI_ISL_427732	A.3
HCOV-19_AUSTRALIA_20200317_EPI_ISL_427733	B.6
HCOV-19_AUSTRALIA_20200318_EPI_ISL_418804	B.1
HCOV-19_AUSTRALIA_20200318_EPI_ISL_419716	A.1
HCOV-19_AUSTRALIA_20200318_EPI_ISL_419718	B.1
HCOV-19_AUSTRALIA_20200318_EPI_ISL_419870	A.1
HCOV-19_AUSTRALIA_20200318_EPI_ISL_419876	B.2
HCOV-19_AUSTRALIA_20200318_EPI_ISL_427720	B.2
HCOV-19_AUSTRALIA_20200318_EPI_ISL_427722	A.1
HCOV-19_AUSTRALIA_20200318_EPI_ISL_427735	B.1
HCOV-19_AUSTRALIA_20200318_EPI_ISL_427802	B.1
HCOV-19_AUSTRALIA_20200319_EPI_ISL_418808	B.11
HCOV-19_AUSTRALIA_20200319_EPI_ISL_419885	A.1
HCOV-19_AUSTRALIA_20200319_EPI_ISL_419891	B.1
HCOV-19_AUSTRALIA_20200319_EPI_ISL_419897	B.1
HCOV-19_AUSTRALIA_20200319_EPI_ISL_427681	A
HCOV-19_AUSTRALIA_20200319_EPI_ISL_427706	B.6
HCOV-19_AUSTRALIA_20200319_EPI_ISL_427721	B.1
HCOV-19_AUSTRALIA_20200319_EPI_ISL_427723	B.2
HCOV-19_AUSTRALIA_20200319_EPI_ISL_427724	B.1
HCOV-19_AUSTRALIA_20200319_EPI_ISL_427725	B.2
HCOV-19_AUSTRALIA_20200319_EPI_ISL_427726	A.3
HCOV-19_AUSTRALIA_20200320_EPI_ISL_419918	B.2
HCOV-19_AUSTRALIA_20200320_EPI_ISL_419920	A.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_419923	B.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_426647	A.2
HCOV-19_AUSTRALIA_20200320_EPI_ISL_426648	B.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_426651	B.2
HCOV-19_AUSTRALIA_20200320_EPI_ISL_426654	B.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_426657	B.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_427712	B.2
HCOV-19_AUSTRALIA_20200320_EPI_ISL_427737	B.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_427757	B.6
HCOV-19_AUSTRALIA_20200320_EPI_ISL_427758	B.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_427784	B.1
HCOV-19_AUSTRALIA_20200320_EPI_ISL_427805	B.2
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419823	A.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419824	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419936	A.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419938	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419943	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419944	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419946	B.6
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419947	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419949	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_419954	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_426663	A.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427671	A.2
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427690	B.2
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427699	A.2
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427708	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427710	A.2
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427719	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427739	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427740	A.2
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427743	B.1
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427746	A.2
HCOV-19_AUSTRALIA_20200321_EPI_ISL_427777	A.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_419827	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_419828	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_419830	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_419959	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_419966	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_419979	A.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_426670	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_426673	A.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_426676	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_426677	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_426680	B
HCOV-19_AUSTRALIA_20200322_EPI_ISL_426779	B.2
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427674	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427676	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427693	B.1
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427695	A.2
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427762	A.2
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427765	A.2
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427767	A.2
HCOV-19_AUSTRALIA_20200322_EPI_ISL_427781	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_419982	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_419985	B.4
HCOV-19_AUSTRALIA_20200323_EPI_ISL_419991	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_419993	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_419994	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_419997	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_419998	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_420003	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426689	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426690	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426691	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426692	B.2
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426696	B.2
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426767	B.6
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426771	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426775	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426789	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426796	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_426798	A.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427683	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427684	A.2
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427685	A.2
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427749	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427750	B.6
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427755	A.2
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427763	A.2
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427768	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427771	B.1
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427776	B.2
HCOV-19_AUSTRALIA_20200323_EPI_ISL_427807	A.2
HCOV-19_AUSTRALIA_20200324_EPI_ISL_420006	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_420876	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_426697	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_426698	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_426745	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_426802	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_426805	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_426806	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_426824	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_427753	A.2
HCOV-19_AUSTRALIA_20200324_EPI_ISL_427760	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_427779	B.11
HCOV-19_AUSTRALIA_20200324_EPI_ISL_427791	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_427795	B.1
HCOV-19_AUSTRALIA_20200324_EPI_ISL_427800	B.2
HCOV-19_AUSTRALIA_20200325_EPI_ISL_420879	A.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426801	B.21
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426810	B.4
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426811	B.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426816	B.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426822	B.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426825	A.2
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426828	A.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426832	B.2
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426841	A.2
HCOV-19_AUSTRALIA_20200325_EPI_ISL_426854	B.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427751	B.6
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427756	B.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427766	A.2
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427773	B.4
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427775	B.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427783	B.1
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427792	A.2
HCOV-19_AUSTRALIA_20200325_EPI_ISL_427796	B.1
HCOV-19_AUSTRALIA_20200326_EPI_ISL_421636	B.1
HCOV-19_AUSTRALIA_20200326_EPI_ISL_426874	B.4
HCOV-19_AUSTRALIA_20200326_EPI_ISL_427787	B.1
HCOV-19_AUSTRALIA_20200326_EPI_ISL_427797	A.2
HCOV-19_AUSTRALIA_20200326_EPI_ISL_427801	B.26
HCOV-19_AUSTRALIA_20200326_EPI_ISL_427806	A.2
HCOV-19_AUSTRALIA_20200326_EPI_ISL_430639	B.1
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426957	B.2
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426958	A.1
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426960	B.1
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426961	B.1
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426964	B.2
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426968	B.1
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426972	B.1
HCOV-19_AUSTRALIA_20200327_EPI_ISL_426975	B.4
HCOV-19_AUSTRALIA_20200327_EPI_ISL_427002	B.1
HCOV-19_AUSTRALIA_20200327_EPI_ISL_430653	B.2
HCOV-19_AUSTRALIA_20200327_EPI_ISL_430655	B.1
HCOV-19_AUSTRALIA_20200328_EPI_ISL_420877	B.1
HCOV-19_AUSTRALIA_20200328_EPI_ISL_426877	A.1
HCOV-19_AUSTRALIA_20200328_EPI_ISL_426927	A.5
HCOV-19_AUSTRALIA_20200328_EPI_ISL_426940	B.1
HCOV-19_AUSTRALIA_20200328_EPI_ISL_426952	A.2
HCOV-19_AUSTRALIA_20200328_EPI_ISL_426986	B.1
HCOV-19_AUSTRALIA_20200328_EPI_ISL_426989	B.2
HCOV-19_AUSTRALIA_20200329_EPI_ISL_426932	B.1
HCOV-19_AUSTRALIA_20200329_EPI_ISL_430542	A.2
HCOV-19_AUSTRALIA_20200330_EPI_ISL_427010	B.1
HCOV-19_AUSTRALIA_20200330_EPI_ISL_427013	A.1
HCOV-19_AUSTRALIA_20200330_EPI_ISL_427029	B.4
HCOV-19_AUSTRALIA_20200330_EPI_ISL_427054	B.9
HCOV-19_AUSTRALIA_20200330_EPI_ISL_427058	B.1
HCOV-19_AUSTRALIA_20200330_EPI_ISL_427060	B.1
HCOV-19_AUSTRALIA_20200330_EPI_ISL_430545	B.1
HCOV-19_AUSTRALIA_20200331_EPI_ISL_427160	B.1
HCOV-19_AUSTRALIA_20200331_EPI_ISL_430479	A.2
HCOV-19_AUSTRALIA_20200331_EPI_ISL_430551	B.1
HCOV-19_AUSTRALIA_20200331_EPI_ISL_430556	B.1
HCOV-19_AUSTRALIA_20200401_EPI_ISL_430547	B.1
HCOV-19_AUSTRALIA_20200403_EPI_ISL_427092	B.1
HCOV-19_AUSTRALIA_20200403_EPI_ISL_427096	B.1
HCOV-19_AUSTRALIA_20200403_EPI_ISL_430533	B.1
HCOV-19_AUSTRALIA_20200403_EPI_ISL_430539	B.4
HCOV-19_AUSTRALIA_20200403_EPI_ISL_430550	B.1
HCOV-19_AUSTRALIA_20200404_EPI_ISL_427105	B.1
HCOV-19_AUSTRALIA_20200404_EPI_ISL_427106	B.4
HCOV-19_AUSTRALIA_20200404_EPI_ISL_427108	B.1
HCOV-19_AUSTRALIA_20200404_EPI_ISL_427115	B.1
HCOV-19_AUSTRALIA_20200404_EPI_ISL_430578	B.1
HCOV-19_AUSTRALIA_20200404_EPI_ISL_430670	B.1
HCOV-19_AUSTRALIA_20200405_EPI_ISL_427122	B.1
HCOV-19_AUSTRALIA_20200405_EPI_ISL_427129	B.1
HCOV-19_AUSTRALIA_20200406_EPI_ISL_430579	B.1
HCOV-19_AUSTRALIA_20200406_EPI_ISL_430597	B.1
HCOV-19_AUSTRALIA_20200407_EPI_ISL_430678	B.1
HCOV-19_AUSTRALIA_20200408_EPI_ISL_430601	B.1
HCOV-19_AUSTRALIA_20200408_EPI_ISL_430676	B.1
HCOV-19_AUSTRALIA_20200409_EPI_ISL_430604	B.1
HCOV-19_AUSTRALIA_20200409_EPI_ISL_430615	B.1
HCOV-19_AUSTRALIA_20200410_EPI_ISL_430674	B.1
HCOV-19_AUSTRALIA_20200411_EPI_ISL_430689	B.4
HCOV-19_AUSTRALIA_20200411_EPI_ISL_430690	B.1
HCOV-19_AUSTRALIA_20200411_EPI_ISL_430693	B.4
HCOV-19_AUSTRALIA_20200412_EPI_ISL_430696	B.1
HCOV-19_AUSTRALIA_20200413_EPI_ISL_430682	B.4
HCOV-19_AUSTRALIA_20200413_EPI_ISL_430698	B.1
HCOV-19_AUSTRALIA_20200414_EPI_ISL_430697	B.1
HCOV-19_AUSTRIA_20200226_EPI_ISL_419656	B.1
HCOV-19_AUSTRIA_20200306_EPI_ISL_419658	B.2
HCOV-19_AUSTRIA_20200310_EPI_ISL_419659	B.1
HCOV-19_AUSTRIA_20200310_EPI_ISL_419661	B.1
HCOV-19_AUSTRIA_20200310_EPI_ISL_419665	B.1
HCOV-19_AUSTRIA_20200311_EPI_ISL_419666	B.1
HCOV-19_AUSTRIA_20200316_EPI_ISL_419669	B.1
HCOV-19_AUSTRIA_20200316_EPI_ISL_419670	B.1
HCOV-19_AUSTRIA_20200319_EPI_ISL_419671	B.1
HCOV-19_AUSTRIA_20200319_EPI_ISL_419672	B.1
HCOV-19_AUSTRIA_20200322_EPI_ISL_419673	B.1
HCOV-19_AUSTRIA_20200323_EPI_ISL_419664	B.1
HCOV-19_BEIJING_20200118_EPI_ISL_408485	A
HCOV-19_BEIJING_20200124_EPI_ISL_424355	A
HCOV-19_BEIJING_20200124_EPI_ISL_430734	B.11
HCOV-19_BEIJING_20200127_EPI_ISL_424359	B.11
HCOV-19_BEIJING_20200128_EPI_ISL_424358	A
HCOV-19_BEIJING_20200129_EPI_ISL_424360	A
HCOV-19_BEIJING_20200202_EPI_ISL_430728	A
HCOV-19_BEIJING_20200207_EPI_ISL_430740	B.2
HCOV-19_BEIJING_20200210_EPI_ISL_430741	A
HCOV-19_BEIJING_20200225_EPI_ISL_430737	A
HCOV-19_BELARUS_202003_EPI_ISL_419692	B.4
HCOV-19_BELARUS_202003_EPI_ISL_419693	B.1
HCOV-19_BELGIUM_20200229_EPI_ISL_415159	B.1
HCOV-19_BELGIUM_20200301_EPI_ISL_415154	B.1
HCOV-19_BELGIUM_20200301_EPI_ISL_415155	B.1
HCOV-19_BELGIUM_20200301_EPI_ISL_415157	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_416467	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_416468	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_416470	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_416471	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_416476	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_417427	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_417428	B.1
HCOV-19_BELGIUM_20200302_EPI_ISL_418986	B.1
HCOV-19_BELGIUM_20200303_EPI_ISL_415153	B.1
HCOV-19_BELGIUM_20200303_EPI_ISL_416469	B.1
HCOV-19_BELGIUM_20200304_EPI_ISL_417424	B.1
HCOV-19_BELGIUM_20200304_EPI_ISL_418988	B.1
HCOV-19_BELGIUM_20200304_EPI_ISL_420442	B.1
HCOV-19_BELGIUM_20200304_EPI_ISL_420443	B.1
HCOV-19_BELGIUM_20200304_EPI_ISL_420447	B.1
HCOV-19_BELGIUM_20200304_EPI_ISL_420454	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_418792	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_418798	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_418863	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420317	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420322	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420330	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420331	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420334	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420348	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420349	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420367	B.1
HCOV-19_BELGIUM_20200305_EPI_ISL_420453	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_418794	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_418805	B.2
HCOV-19_BELGIUM_20200306_EPI_ISL_418981	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420315	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420321	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420326	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420328	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420335	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420336	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420340	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420343	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420345	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420347	B
HCOV-19_BELGIUM_20200306_EPI_ISL_420350	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420351	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420355	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420356	B.3
HCOV-19_BELGIUM_20200306_EPI_ISL_420441	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420446	B.1
HCOV-19_BELGIUM_20200306_EPI_ISL_420449	B.1
HCOV-19_BELGIUM_20200307_EPI_ISL_417008	B.2
HCOV-19_BELGIUM_20200307_EPI_ISL_417009	B.2
HCOV-19_BELGIUM_20200307_EPI_ISL_420318	B.1
HCOV-19_BELGIUM_20200307_EPI_ISL_420323	B.1
HCOV-19_BELGIUM_20200307_EPI_ISL_420352	B
HCOV-19_BELGIUM_20200307_EPI_ISL_420450	B.1
HCOV-19_BELGIUM_20200307_EPI_ISL_420451	B.1
HCOV-19_BELGIUM_20200309_EPI_ISL_418983	B.1
HCOV-19_BELGIUM_20200309_EPI_ISL_418984	B.1
HCOV-19_BELGIUM_20200309_EPI_ISL_418985	B.1
HCOV-19_BELGIUM_20200309_EPI_ISL_420320	B.1
HCOV-19_BELGIUM_20200309_EPI_ISL_420338	B.3
HCOV-19_BELGIUM_20200309_EPI_ISL_420346	B.1
HCOV-19_BELGIUM_20200309_EPI_ISL_420445	B.1
HCOV-19_BELGIUM_20200309_EPI_ISL_420452	B.1
HCOV-19_BELGIUM_20200310_EPI_ISL_418793	B.1
HCOV-19_BELGIUM_20200310_EPI_ISL_418800	B.3
HCOV-19_BELGIUM_20200313_EPI_ISL_417014	B.1
HCOV-19_BELGIUM_20200313_EPI_ISL_417015	B.1
HCOV-19_BELGIUM_20200313_EPI_ISL_417016	B.1
HCOV-19_BELGIUM_20200314_EPI_ISL_417017	B.2
HCOV-19_BELGIUM_20200314_EPI_ISL_417018	B.1
HCOV-19_BELGIUM_20200314_EPI_ISL_417019	B.1
HCOV-19_BELGIUM_20200314_EPI_ISL_418625	B.3
HCOV-19_BELGIUM_20200314_EPI_ISL_418631	B.1
HCOV-19_BELGIUM_20200315_EPI_ISL_417020	B.1
HCOV-19_BELGIUM_20200315_EPI_ISL_417021	B.1
HCOV-19_BELGIUM_20200315_EPI_ISL_417023	B.1
HCOV-19_BELGIUM_20200315_EPI_ISL_417025	B.2
HCOV-19_BELGIUM_20200315_EPI_ISL_418624	B.1
HCOV-19_BELGIUM_20200317_EPI_ISL_418629	B.1
HCOV-19_BELGIUM_20200318_EPI_ISL_420358	B
HCOV-19_BELGIUM_20200318_EPI_ISL_420359	B
HCOV-19_BELGIUM_20200318_EPI_ISL_420360	B.1
